site_id,lat,lon,is_existing,got_tower,got_wisp,tower_year,wisp_year
1256,15.541,-86.202,1,0,0,0,0
1258,15.544,-86.199,1,0,0,0,0
1259,15.548,-86.191,1,0,0,0,0
1260,15.55,-86.187,1,0,0,0,0
1262,15.556,-86.178,1,0,0,0,0
1263,15.564,-86.187,1,0,0,0,0
1265,15.563,-86.165,1,0,0,0,0
1266,15.564,-86.165,1,0,0,0,0
1267,15.566,-86.162,1,0,0,0,0
1268,15.566,-86.161,1,0,0,0,0
1270,15.576,-86.21,1,0,0,0,0
1271,15.575,-86.164,1,0,0,0,0
1272,15.572,-86.151,1,0,0,0,0
1273,15.577,-86.142,1,0,0,0,0
1277,15.582,-86.133,1,0,0,0,0
1278,15.583,-86.133,1,0,0,0,0
1279,15.583,-86.133,1,0,0,0,0
1280,15.583,-86.132,1,0,0,0,0
1282,15.596,-86.216,1,0,0,0,0
1284,15.589,-86.123,1,0,0,0,0
1285,15.592,-86.117,1,0,0,0,0
1286,15.598,-86.129,1,0,0,0,0
1290,15.598,-86.108,1,0,0,0,0
1291,15.596,-86.09,1,0,0,0,0
1292,15.59,-86.077,1,0,0,0,0
1293,15.596,-86.077,1,0,0,0,0
1299,15.605,-86.185,1,0,0,0,0
1300,15.615,-86.144,1,0,1,0,1
1303,15.608,-86.09,1,0,0,0,0
1305,15.61,-86.076,1,0,0,0,0
1306,15.611,-86.071,1,0,0,0,0
1307,15.613,-86.08,1,0,0,0,0
1315,15.616,-86.074,1,0,0,0,0
1316,15.618,-86.071,1,0,0,0,0
1333,15.635,-86.162,1,0,0,0,0
1360,15.648,-86.138,1,0,0,0,0
1465,15.67,-86.138,1,0,0,0,0
5441,15.479,-87.667,1,0,0,0,0
5819,15.492,-87.547,1,0,0,0,0
6216,15.504,-87.695,1,0,0,0,0
6485,15.522,-87.705,1,0,0,0,0
6486,15.511,-87.679,1,0,0,0,0
6488,15.513,-87.672,1,0,0,0,0
6489,15.515,-87.678,1,0,0,0,0
6491,15.517,-87.672,1,0,0,0,0
6492,15.518,-87.67,1,0,0,0,0
6493,15.519,-87.682,1,0,0,0,0
6495,15.518,-87.664,1,0,0,0,0
6496,15.522,-87.664,1,0,0,0,0
6498,15.524,-86.629,1,0,0,0,0
6499,15.511,-86.347,1,0,1,0,1
6693,15.536,-87.702,1,0,0,0,0
6694,15.527,-87.655,1,0,0,0,0
6695,15.528,-87.655,1,0,0,0,0
6696,15.529,-87.655,1,0,0,0,0
6698,15.533,-87.656,1,0,0,0,0
6699,15.534,-87.668,1,0,0,0,0
6700,15.535,-87.656,1,0,0,0,0
6938,15.549,-87.649,1,0,0,0,0
6940,15.55,-87.647,1,0,0,0,0
6942,15.553,-87.646,1,0,0,0,0
6943,15.549,-87.638,1,0,0,0,0
6947,15.554,-87.571,1,0,1,0,3
6948,15.544,-87.352,1,0,1,0,5
9887,15.5766,-87.1546,0,1,1,4,5
9921,15.6766,-87.6546,0,1,1,2,4
9923,15.6766,-87.4546,0,1,1,1,3
9925,15.6766,-87.2546,0,1,1,3,5
9929,15.6766,-86.8546,0,1,1,1,5
9931,15.6766,-86.6546,0,1,1,2,3
9933,15.6766,-86.4546,0,1,1,2,5
9954,15.7766,-87.7546,0,1,1,1,2
9956,15.7766,-87.5546,0,1,1,1,2
9958,15.7766,-87.3546,0,1,1,1,5
9962,15.7766,-86.7546,0,1,1,1,5
9964,15.7766,-86.5546,0,1,1,3,5
1,13.028,-87.415,1,0,0,0,0
2,13.043,-87.368,1,0,0,0,0
23,13.084,-87.009,1,0,0,0,0
30,13.099,-87.064,1,0,0,0,0
31,13.1,-87.067,1,0,1,0,5
32,13.095,-87.051,1,0,0,0,0
33,13.089,-87.023,1,0,0,0,0
35,13.087,-87.0,1,0,0,0,0
40,13.113,-87.109,1,0,0,0,0
41,13.113,-87.109,1,0,0,0,0
42,13.106,-87.092,1,0,0,0,0
45,13.102,-87.081,1,0,0,0,0
46,13.101,-87.0,1,0,0,0,0
47,13.105,-86.999,1,0,0,0,0
49,13.108,-86.994,1,0,0,0,0
50,13.111,-86.99,1,0,0,0,0
51,13.111,-86.984,1,0,0,0,0
57,13.122,-87.115,1,0,0,0,0
58,13.121,-87.003,1,0,0,0,0
61,13.12,-86.993,1,0,0,0,0
62,13.121,-86.992,1,0,1,0,5
63,13.121,-86.993,1,0,0,0,0
65,13.136,-87.131,1,0,0,0,0
67,13.138,-87.128,1,0,0,0,0
68,13.139,-87.128,1,0,0,0,0
69,13.142,-87.13,1,0,0,0,0
70,13.14,-87.027,1,0,0,0,0
71,13.142,-86.962,1,0,0,0,0
77,13.15,-87.158,1,0,0,0,0
80,13.147,-87.13,1,0,0,0,0
81,13.153,-87.118,1,0,0,0,0
82,13.151,-87.038,1,0,0,0,0
83,13.16,-86.933,1,0,0,0,0
94,13.167,-87.212,1,0,0,0,0
98,13.172,-87.129,1,0,0,0,0
99,13.175,-86.931,1,0,0,0,0
107,13.189,-87.376,1,0,0,0,0
109,13.182,-87.243,1,0,0,0,0
110,13.183,-87.215,1,0,0,0,0
111,13.19,-87.165,1,0,0,0,0
113,13.187,-87.146,1,0,0,0,0
114,13.19,-87.15,1,0,0,0,0
116,13.178,-87.136,1,0,0,0,0
120,13.186,-87.133,1,0,0,0,0
122,13.19,-86.945,1,0,0,0,0
123,13.189,-86.922,1,0,0,0,0
126,13.192,-87.434,1,0,1,0,1
127,13.193,-87.433,1,0,0,0,0
131,13.201,-87.386,1,0,0,0,0
133,13.199,-87.381,1,0,0,0,0
144,13.194,-87.152,1,0,0,0,0
145,13.195,-87.146,1,0,0,0,0
146,13.202,-87.153,1,0,0,0,0
151,13.205,-87.137,1,0,0,0,0
152,13.195,-86.953,1,0,0,0,0
153,13.205,-86.951,1,0,0,0,0
155,13.207,-87.371,1,0,0,0,0
156,13.205,-87.369,1,0,0,0,0
158,13.212,-87.369,1,0,0,0,0
162,13.218,-87.289,1,0,0,0,0
163,13.208,-87.177,1,0,0,0,0
166,13.217,-87.147,1,0,0,0,0
