site_id,lat,lon,is_existing,got_tower,got_wisp,tower_year,wisp_year
1176,15.312,-85.672,1,0,0,0,0
1177,15.332,-85.642,1,0,1,0,5
1178,15.348,-85.622,1,0,0,0,0
1179,15.361,-85.615,1,0,1,0,5
1180,15.383,-85.615,1,0,0,0,0
1181,15.398,-85.597,1,0,1,0,5
1182,15.4,-85.593,1,0,0,0,0
1183,15.406,-85.595,1,0,0,0,0
1185,15.418,-85.588,1,0,0,0,0
1186,15.424,-85.579,1,0,0,0,0
1187,15.445,-85.583,1,0,1,0,5
1188,15.463,-85.608,1,0,1,0,5
1189,15.457,-85.597,1,0,0,0,0
1190,15.459,-85.598,1,0,0,0,0
1281,15.583,-85.708,1,0,0,0,0
1298,15.592,-85.708,1,0,0,0,0
1881,14.319,-85.928,1,0,1,0,5
1882,14.319,-85.928,1,0,0,0,0
1883,14.319,-85.929,1,0,0,0,0
1884,14.338,-85.891,1,0,0,0,0
1885,14.338,-85.891,1,0,1,0,5
1886,14.339,-85.891,1,0,0,0,0
1887,14.341,-85.891,1,0,0,0,0
1888,14.342,-85.89,1,0,0,0,0
1889,14.343,-85.889,1,0,1,0,5
1890,14.345,-85.888,1,0,0,0,0
1891,14.345,-85.888,1,0,0,0,0
1892,14.347,-85.888,1,0,1,0,5
1893,14.418,-86.07,1,0,1,0,5
1894,14.462,-86.141,1,0,1,0,5
1895,14.58,-86.178,1,0,1,0,5
1896,14.583,-86.145,1,0,0,0,0
1897,14.607,-86.249,1,0,1,0,5
1898,14.609,-86.246,1,0,0,0,0
1899,14.609,-86.246,1,0,0,0,0
1900,14.61,-86.242,1,0,0,0,0
1901,14.611,-86.243,1,0,0,0,0
1902,14.611,-86.246,1,0,1,0,5
1903,14.612,-86.242,1,0,1,0,5
1906,14.614,-86.245,1,0,0,0,0
1907,14.614,-86.147,1,0,0,0,0
1908,14.617,-86.238,1,0,0,0,0
1910,14.617,-86.239,1,0,1,0,4
1922,14.631,-86.222,1,0,0,0,0
1924,14.632,-86.221,1,0,0,0,0
1928,14.633,-86.22,1,0,1,0,5
1936,14.639,-86.23,1,0,1,0,5
1944,14.64,-86.102,1,0,1,0,5
1945,14.64,-86.107,1,0,0,0,0
1946,14.642,-86.108,1,0,0,0,0
1947,14.644,-86.105,1,0,0,0,0
1953,14.647,-86.217,1,0,0,0,0
1960,14.65,-86.213,1,0,1,0,5
1962,14.651,-86.213,1,0,0,0,0
1963,14.652,-86.214,1,0,0,0,0
2001,14.647,-86.191,1,0,0,0,0
2002,14.647,-86.2,1,0,1,0,5
2003,14.648,-86.2,1,0,0,0,0
2004,14.649,-86.199,1,0,0,0,0
2012,14.66,-86.193,1,0,0,0,0
2013,14.66,-86.194,1,0,1,0,5
2014,14.649,-86.184,1,0,0,0,0
2025,14.652,-86.15,1,0,1,0,5
2026,14.645,-86.104,1,0,1,0,5
2027,14.647,-86.075,1,0,0,0,0
2028,14.652,-86.052,1,0,1,0,5
2029,14.663,-86.229,1,0,0,0,0
2034,14.663,-86.229,1,0,0,0,0
2131,14.661,-86.199,1,0,1,0,4
2132,14.661,-86.199,1,0,0,0,0
2134,14.661,-86.199,1,0,0,0,0
2142,14.66,-86.184,1,0,0,0,0
2143,14.669,-86.19,1,0,0,0,0
2144,14.67,-86.111,1,0,0,0,0
2145,14.687,-86.243,1,0,1,0,5
2146,14.675,-86.223,1,0,0,0,0
2148,14.676,-86.224,1,0,0,0,0
2150,14.676,-86.224,1,0,1,0,5
2173,14.681,-86.222,1,0,1,0,5
2176,14.683,-86.224,1,0,0,0,0
2177,14.683,-86.225,1,0,0,0,0
2179,14.675,-86.21,1,0,0,0,0
2180,14.675,-86.207,1,0,0,0,0
2181,14.676,-86.208,1,0,1,0,5
2183,14.676,-86.21,1,0,0,0,0
2184,14.676,-86.207,1,0,0,0,0
2206,14.685,-86.199,1,0,0,0,0
2208,14.686,-86.197,1,0,0,0,0
2209,14.687,-86.196,1,0,1,0,5
2211,14.688,-86.194,1,0,0,0,0
2212,14.689,-86.193,1,0,0,0,0
2213,14.689,-85.995,1,0,0,0,0
2214,14.691,-86.18,1,0,0,0,0
2218,14.695,-86.183,1,0,1,0,5
2219,14.696,-86.183,1,0,1,0,5
2220,14.696,-86.181,1,0,0,0,0
2223,14.697,-86.181,1,0,0,0,0
2227,14.701,-86.175,1,0,0,0,0
2233,14.696,-86.119,1,0,1,0,5
2234,14.697,-86.119,1,0,0,0,0
2235,14.693,-85.999,1,0,0,0,0
2236,14.706,-86.168,1,0,0,0,0
2237,14.707,-86.166,1,0,0,0,0
2238,14.709,-86.162,1,0,1,0,5
2252,14.72,-86.14,1,0,0,0,0
2257,14.721,-86.143,1,0,0,0,0
2258,14.722,-86.142,1,0,1,0,5
2274,14.735,-86.104,1,0,0,0,0
2275,14.726,-85.951,1,0,1,0,5
2276,14.726,-85.951,1,0,0,0,0
2277,14.729,-85.796,1,0,1,0,5
2280,14.735,-86.104,1,0,0,0,0
2281,14.736,-86.095,1,0,0,0,0
2282,14.737,-86.099,1,0,1,0,5
2283,14.738,-86.096,1,0,0,0,0
2289,14.739,-86.091,1,0,1,0,5
2290,14.74,-86.096,1,0,0,0,0
2291,14.74,-86.09,1,0,0,0,0
2296,14.745,-86.076,1,0,0,0,0
2297,14.745,-86.075,1,0,0,0,0
2298,14.747,-86.071,1,0,1,0,5
2300,14.737,-86.059,1,0,0,0,0
2304,14.746,-86.009,1,0,1,0,5
2305,14.749,-85.99,1,0,0,0,0
2306,14.744,-85.975,1,0,0,0,0
2307,14.755,-86.139,1,0,1,0,5
2308,14.755,-86.137,1,0,0,0,0
2309,14.755,-86.138,1,0,0,0,0
2310,14.76,-86.139,1,0,0,0,0
2312,14.764,-86.141,1,0,0,0,0
2313,14.751,-86.057,1,0,1,0,5
2314,14.751,-86.057,1,0,0,0,0
2315,14.751,-86.057,1,0,0,0,0
2316,14.753,-86.052,1,0,1,0,5
2317,14.753,-86.053,1,0,0,0,0
2319,14.756,-86.04,1,0,1,0,5
2320,14.757,-86.04,1,0,0,0,0
2321,14.758,-86.035,1,0,0,0,0
2322,14.761,-86.028,1,0,0,0,0
2323,14.761,-86.025,1,0,0,0,0
2325,14.762,-86.019,1,0,0,0,0
2326,14.762,-86.018,1,0,0,0,0
2327,14.765,-86.014,1,0,0,0,0
2329,14.751,-85.988,1,0,1,0,5
2330,14.752,-85.987,1,0,0,0,0
2331,14.779,-86.146,1,0,0,0,0
2337,14.77,-86.144,1,0,1,0,5
2338,14.772,-86.144,1,0,0,0,0
2339,14.778,-86.145,1,0,0,0,0
2340,14.766,-86.011,1,0,0,0,0
2341,14.766,-86.006,1,0,0,0,0
2342,14.767,-86.001,1,0,1,0,5
2343,14.769,-86.004,1,0,0,0,0
2345,14.769,-86.005,1,0,1,0,5
2348,14.774,-85.996,1,0,0,0,0
2352,14.772,-85.99,1,0,0,0,0
2355,14.795,-86.162,1,0,1,0,5
2356,14.783,-86.148,1,0,1,0,5
2357,14.784,-86.15,1,0,0,0,0
2358,14.784,-86.149,1,0,0,0,0
2359,14.788,-86.15,1,0,0,0,0
2360,14.791,-86.152,1,0,1,0,5
2361,14.794,-86.157,1,0,0,0,0
2367,14.79,-85.994,1,0,1,0,5
2371,14.783,-85.938,1,0,0,0,0
2372,14.783,-85.939,1,0,0,0,0
2373,14.785,-85.936,1,0,1,0,5
2374,14.792,-85.945,1,0,0,0,0
2375,14.792,-85.943,1,0,1,0,5
2376,14.782,-85.929,1,0,0,0,0
2377,14.781,-85.895,1,0,0,0,0
